plotID,MOW,FERT,REM,P_2022_mg/kg,TN_2022_mg/kg
p1,M1,F0,R1,0.382139168,8.820284054
p2,M0,F0,R0,0.157502009,6.764845161
p3,M1,F1,R1,0.724001828,9.193550499
p4,M0,F1,R0,0.728804554,1.584459459
p5,M0,F0,R1,0.15403187,2.79175063
p6,M1,F0,R0,0.762378406,19.07759674
p7,M0,F1,R1,0.745435548,7.527596479
p8,M1,F1,R0,2.895291899,10.03911227
p9,M1,F1,R0,0.814438971,9.026615721
p10,M0,F1,R1,1.50930835,12.33832653
p11,M1,F0,R0,0.518529908,12.26627968
p12,M0,F0,R1,1.574688602,12.5710698
p13,M0,F1,R0,0.211662364,4.654509804
p14,M1,F1,R1,0.516776874,11.8762958
p15,M0,F0,R0,0.161186175,4.878090041
p16,M1,F0,R1,0.173131717,8.151309614
p17,M0,F0,R1,0,26.12231362
p18,M1,F1,R0,1.050675536,9.438226744
p19,M0,F1,R1,1.726047333,15.29502725
p20,M1,F0,R0,1.322946503,9.835731707
p21,M1,F0,R1,0.491480125,10.49817425
p22,M0,F1,R0,0.890093616,10.00010468
p23,M1,F1,R1,1.131171021,15.84463826
p24,M0,F0,R0,0.517252016,10.00887426
